epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.65656,0.48935,1,1,0.00862,0.000469529,0.000469529,0.000469529
2,22.1963,0.1095,1,1,0.00202,0.000899042,0.000899042,0.000899042
3,29.591,0.136,0.99286,1,0.02558,0.0012814,0.0012814,0.0012814
4,37.2014,0.11566,1,1,0.00134,0.00121679,0.00121679,0.00121679
5,45.1516,0.10695,1,1,0.00129,0.00114606,0.00114606,0.00114606
6,52.4165,0.09603,0.99643,1,0.0055,0.00107532,0.00107532,0.00107532
7,59.6373,0.08603,1,1,0.00233,0.00100459,0.00100459,0.00100459
8,66.9856,0.05556,1,1,0.0021,0.000933851,0.000933851,0.000933851
9,74.4652,0.04788,1,1,0.00035,0.000863116,0.000863116,0.000863116
10,82.4358,0.04352,1,1,6e-05,0.00079238,0.00079238,0.00079238
11,90.8919,0.05311,1,1,6e-05,0.000721645,0.000721645,0.000721645
12,98.614,0.04953,1,1,3e-05,0.000650909,0.000650909,0.000650909
13,106.204,0.05159,1,1,8e-05,0.000580174,0.000580174,0.000580174
14,113.628,0.03695,1,1,8e-05,0.000509438,0.000509438,0.000509438
15,120.934,0.02724,1,1,2e-05,0.000438703,0.000438703,0.000438703
16,128.276,0.03239,1,1,5e-05,0.000367967,0.000367967,0.000367967
17,135.482,0.01562,1,1,0.00014,0.000297232,0.000297232,0.000297232
18,142.697,0.01746,1,1,3e-05,0.000226497,0.000226497,0.000226497
19,149.889,0.02268,1,1,2e-05,0.000155761,0.000155761,0.000155761
20,157.237,0.01787,1,1,3e-05,8.50255e-05,8.50255e-05,8.50255e-05
